Dish,Per Serving Household Measure, B-Carotene , Calcium , Carbohydrate , Cholesterol , Dietary fibre , Energy , Iron , Monounsaturated fat , Phosphorus , Polyunsaturated fat , Potassium , Protein , Retinol , Riboflavin , Saturated fat , Selenium , Sodium , Starch , Sugar , Thiamin , Total fat , Vitamin A , Vitamin C , Vitamin D , Water , Whole-grains , Zinc 
 Thai mango salad , Plate-20cm (263g) ,825.82,53.39,47.6,0.0,5.52,397.13,2.08,8.65,0.0,5.44,0.0,8.94,0.0,0.0,4.63,0.0,1893.6,2.89,44.71,0.0,18.91,137.55,11.05,0.0,171.21,0.0,0.0
 Thunder Tea Rice with Soup , 1 portion (428g) ,992.96,211.0,57.78,0.0,15.41,642.0,4.02,13.78,0.0,9.89,0.0,26.54,0.0,0.0,10.19,0.0,1335.36,57.78,0.0,0.0,33.94,165.64,1.28,0.0,292.75,0.0,0.0
 Traditional ondeh ondeh , Piece (50g) ,46.5,9.0,22.25,0.0,1.25,136.0,0.6,0.73,23.5,0.2,120.0,1.35,0.0,0.02,3.78,0.0,38.0,16.05,6.2,0.02,5.0,7.5,0.0,0.0,21.95,0.0,0.1
" Tuna, salad, with thousand island dressing, canned ", Can (176g) ,61.6,86.24,10.56,33.44,3.52,244.64,2.46,2.9,339.68,2.8,550.88,23.76,73.92,0.14,5.6,8.27,818.4,3.87,5.98,0.02,12.14,84.48,0.18,0.0,127.42,0.0,1.41
" Turkey Breast Salad, Subway ", Bowl-dessert (15 cm) (344g) ,0.0,0.0,13.0,20.64,3.99,110.08,0.0,0.0,0.0,0.0,0.0,10.32,0.0,0.0,0.52,0.0,574.48,0.0,4.99,0.0,2.2,0.0,0.0,0.0,0.0,0.0,0.0
 Turtle soup , Bowl-soup (16 and 1/2 cm) (424g) ,0.0,41.55,6.36,135.68,0.0,166.2,5.51,-4.24,0.0,-4.24,0.0,29.26,0.0,0.0,-4.24,0.0,1161.76,0.0,0.0,0.0,2.54,0.0,0.0,0.0,381.6,0.0,0.0
 Vadai with kacang hitam , Piece (60g) ,13.32,23.46,10.51,0.0,2.99,131.36,1.03,3.26,89.09,0.71,240.61,5.03,0.0,0.03,3.38,4.94,390.39,10.09,0.41,0.07,7.69,2.22,0.0,0.0,31.14,0.0,0.68
" Vadai, kacang dal kuning ", Piece (50g) ,57.0,23.0,11.6,0.0,3.7,150.93,1.15,3.45,87.5,1.5,25.5,6.2,0.0,0.29,3.55,66.55,264.5,11.05,0.55,0.09,8.85,9.5,0.0,0.0,17.0,0.0,1.05
 Vegetable briyani , Plate-20cm (239.3g) ,1823.47,50.25,46.18,55.04,5.03,335.02,0.0,4.02,90.93,0.5,275.2,6.94,174.69,0.05,8.59,26.08,612.61,42.36,3.83,0.1,13.64,478.6,0.0,0.0,163.68,0.0,1.2
 Vegetarian brown rice porridge , 1 portion (470g) ,0.0,28.44,36.43,0.0,4.42,211.5,0.89,1.18,169.2,1.27,167.79,7.76,0.0,0.05,0.89,-4.7,1088.52,36.66,0.0,0.14,3.9,0.0,0.0,0.0,410.78,0.0,1.08
 Vegetarian fried bee hoon , Plate-23cm (362g) ,72.4,50.68,82.9,0.0,8.33,548.54,2.9,4.71,0.0,2.9,0.0,15.93,0.0,0.0,7.96,0.0,1538.5,0.0,0.0,0.0,16.65,10.86,0.0,0.0,238.92,0.0,0.0
" Veggie Delite Salad, Subway ", Bowl-dessert (15 cm) (287g) ,0.0,37.31,9.99,0.0,3.99,54.53,1.81,0.06,111.93,0.49,493.64,2.87,0.0,0.14,0.2,1.15,74.62,0.0,4.99,0.09,1.0,163.59,66.58,0.0,274.11,0.0,0.6
" Yong tau foo, beancurd skin, deep fried ", Piece (8g) ,0.0,9.22,0.18,0.0,0.1,57.36,0.64,2.02,28.47,1.0,34.97,1.97,1.29,0.02,2.16,4.64,11.02,0.1,0.08,0.0,5.41,1.29,0.0,0.0,0.18,0.0,0.19
" Yong tau foo, bittergourd with fish paste, boiled ", Piece (23g) ,8.05,11.27,0.35,2.07,0.3,9.43,0.41,0.05,8.51,0.0,14.26,1.59,3.68,0.02,0.09,0.6,73.14,0.35,0.0,0.01,0.21,5.06,1.61,0.0,20.49,0.0,0.12
" Yong tau foo, chilli sauce ", Dessertspoon (49g) ,375.83,43.12,2.21,0.0,0.98,63.7,1.67,0.0,27.93,0.0,75.95,1.52,0.0,0.13,0.0,1.08,683.55,0.29,1.91,0.0,5.44,62.72,0.0,0.0,34.64,0.0,0.0
" Yong tau foo, eggplant with fish paste ", Piece (29g) ,0.0,5.51,0.58,0.87,0.49,31.32,0.2,0.81,9.28,0.23,49.3,0.96,0.0,0.03,0.93,0.38,70.47,0.26,0.35,0.01,2.81,0.0,0.0,0.0,24.48,0.0,0.0
" Yong tau foo, fishmeat wrapped with taukee ", Piece (9g) ,0.0,4.32,0.06,0.27,0.1,20.34,0.17,0.6,11.16,0.35,6.12,1.15,0.45,0.02,0.69,0.25,49.95,0.06,0.0,0.0,1.72,0.45,0.0,0.0,6.1,0.0,0.07
" Yong tau foo, mixed items, noodles not included ", Bowl-soup (16 and 1/2 cm) (324g) ,388.8,239.76,21.71,90.72,9.07,306.65,7.78,4.54,0.0,3.56,0.0,19.76,0.0,0.0,6.8,0.0,1733.4,0.0,0.0,0.0,15.55,64.8,0.0,0.0,255.96,0.0,0.0
" Yong tau foo, okra with fish paste ", Piece (24g) ,25.68,9.36,0.1,0.72,0.31,4.8,0.74,0.07,32.64,0.02,31.92,0.65,5.04,0.01,0.07,0.34,32.64,0.1,0.0,0.0,0.22,9.12,0.0,0.0,21.98,0.0,0.1
" Yong tau foo, pork skin, deep fried ", Piece (19g) ,0.0,3.06,0.0,1.05,0.0,27.15,0.0,0.75,1.69,0.21,2.64,2.78,0.0,0.02,0.73,3.69,22.72,0.0,0.0,0.0,1.78,0.0,0.0,0.0,14.95,0.0,0.0
" Yong tau foo, red chilli with fish ", Piece (16g) ,367.2,4.48,0.35,2.72,0.51,7.52,0.06,0.05,7.52,0.05,26.88,1.07,29.12,0.05,0.06,0.43,71.04,0.13,0.21,0.0,0.19,90.4,3.2,0.0,13.52,0.0,0.03
" Yong tau foo, red sauce ", Tablespoon (16.67g) ,0.0,8.17,3.78,0.0,0.33,22.75,0.38,0.0,3.17,0.0,3.33,0.37,0.0,0.04,0.0,0.58,267.55,0.0,3.78,0.0,0.68,0.0,0.0,0.0,9.37,0.0,0.07
" Yong tau foo, squid roll ", Piece (10g) ,0.0,3.65,0.55,1.27,0.12,11.06,0.0,0.14,6.39,0.04,1.71,1.26,0.0,0.01,0.21,4.48,67.21,0.37,0.18,0.01,0.43,0.0,0.0,0.0,7.38,0.0,0.01
" Yong tau foo, taupok with fish paste ", Piece (17g) ,0.0,24.82,0.05,9.69,0.15,35.36,0.48,0.97,38.42,0.82,18.02,2.31,1.53,0.03,0.95,0.14,40.8,0.05,0.0,0.0,2.87,1.53,0.0,0.0,11.97,0.0,0.26
" Yong tau foo, tofu with fish paste ", Piece (47g) ,0.0,71.44,0.09,0.47,0.56,63.45,1.18,1.03,114.21,2.07,31.96,7.19,7.52,0.06,0.66,0.66,70.5,0.09,0.0,0.02,3.81,7.52,0.0,0.0,34.55,0.0,0.71
 You tiao , Stick (74g) ,0.0,15.54,36.26,0.0,0.96,284.93,0.52,1.26,0.0,0.37,0.0,6.14,0.0,0.0,10.58,0.0,601.62,0.0,0.0,0.0,12.73,0.0,0.0,0.0,17.02,0.0,0.0
