Dish,Per Serving Household Measure, B-Carotene , Calcium , Carbohydrate , Cholesterol , Dietary fibre , Energy , Iron , Monounsaturated fat , Phosphorus , Polyunsaturated fat , Potassium , Protein , Retinol , Riboflavin , Saturated fat , Selenium , Sodium , Starch , Sugar , Thiamin , Total fat , Vitamin A , Vitamin C , Vitamin D , Water , Whole-grains , Zinc 
" Curry puff, chicken ", Piece (115g) ,46.0,2.3,26.8,24.15,3.34,339.25,1.84,9.07,80.5,2.59,271.4,8.4,31.05,0.08,9.46,14.03,388.7,23.46,3.45,0.1,22.08,39.1,0.0,0.0,51.52,0.0,0.69
" Curry puff, frozen, deep fried ", Piece (90g) ,17.1,14.4,25.83,0.0,1.53,318.6,0.81,7.41,54.9,1.76,127.8,9.63,8.1,0.03,9.26,0.0,409.5,15.48,10.26,0.07,19.62,10.8,0.0,0.0,26.64,0.0,0.27
" Curry puff, potato and mutton filling, deep fried ", Piece (138g) ,135.24,34.5,42.5,22.08,3.86,401.58,2.21,8.68,92.46,1.48,393.3,8.42,6.9,0.06,10.86,36.98,800.4,40.3,2.21,0.11,21.94,28.98,0.0,0.0,54.1,0.0,0.55
" Curry puff, potato, and spices, deep fried ", Piece (40g) ,21.6,9.6,17.28,0.0,1.11,127.63,0.52,2.23,24.4,0.38,65.6,1.88,16.0,0.03,2.79,0.0,68.0,16.41,0.44,0.04,5.64,19.6,0.24,0.0,14.48,0.0,0.0
" Curry puff, twisted ", Piece (59g) ,18.88,21.83,6.61,0.0,0.41,127.48,1.12,0.0,33.04,0.0,125.08,3.07,30.09,0.12,0.0,0.0,168.74,0.0,0.0,0.14,9.85,33.04,0.0,0.0,38.17,0.0,0.0
 Deep fried carrot cake , Piece (130g) ,23.4,35.1,27.17,4.55,1.17,179.4,1.43,2.73,37.7,0.91,47.45,3.38,0.0,0.0,2.73,3.25,475.8,25.74,1.43,0.0,6.37,3.9,0.26,0.0,89.05,0.0,0.52
 Deep fried fish bee hoon soup with milk , Bowl-soup (16 and 1/2 cm) (800g) ,14.7,189.25,66.23,47.84,1.62,641.52,3.08,6.92,609.72,3.33,1219.7,46.31,65.38,0.61,7.4,113.36,2707.91,56.37,8.67,0.15,19.87,68.02,0.24,0.0,659.11,0.0,1.32
" Dim sum, beancurd roll ", Piece (33.33g) ,27.66,13.63,1.05,4.8,0.24,66.26,0.0,1.97,35.83,0.73,50.56,4.67,10.3,0.07,1.9,13.77,183.08,0.34,0.71,0.04,4.82,14.9,0.0,0.0,20.18,0.0,0.39
" Dim sum, chicken feet with dark sauce, stewed ", Plate-16cm (108g) ,0.0,278.64,0.54,22.68,2.27,155.52,1.19,4.86,158.76,2.05,29.16,14.26,0.0,0.27,3.35,1.4,470.88,0.0,0.54,0.04,10.8,0.0,0.0,0.0,76.68,0.0,0.65
" Dim sum, dumpling, chives with minced prawn, steamed ", Piece (34g) ,148.58,14.28,5.13,9.52,0.82,47.94,0.2,0.79,22.44,0.41,60.86,2.55,0.0,0.02,0.57,0.0,163.54,3.3,0.24,0.02,1.9,24.82,0.0,0.0,23.87,0.0,0.14
" Dim sum, dumpling, yam, deep fried ", Piece (69g) ,6.21,9.66,22.98,3.45,2.07,201.48,0.35,4.84,58.65,1.38,148.35,2.9,2.07,0.05,5.42,0.0,793.5,19.6,1.24,0.05,12.28,3.45,0.0,0.0,29.95,0.0,0.35
" Dim sum, pork ribs ", 1 portion (100g) ,-1.0,28.0,4.6,51.7,1.0,168.0,0.6,4.17,104.0,1.05,172.0,15.9,2.0,0.08,3.8,-1.0,626.0,0.3,2.1,0.65,9.6,2.0,-1.0,0.0,68.1,0.0,1.2
" Dim sum, pork tart, BBQ ", Piece (49g) ,0.0,6.86,14.06,18.62,0.54,180.81,0.29,4.17,46.55,1.3,53.41,4.8,4.9,0.05,5.64,0.05,380.24,11.66,1.67,0.08,11.76,4.9,0.0,0.0,17.89,0.0,0.44
" Dim sum, sharkfin dumpling ", Piece (26.67g) ,0.0,7.2,2.36,8.93,0.29,41.05,0.0,0.9,18.64,0.33,28.11,3.05,5.07,0.0,0.83,10.56,139.56,1.86,0.5,0.02,2.15,5.07,0.0,0.0,18.46,0.0,0.44
" Dim sum, siew mai, steamed ", Piece (16g) ,2.08,6.88,2.8,3.52,0.29,28.64,0.14,0.53,12.32,0.28,11.84,1.41,0.16,0.01,0.44,0.53,99.04,1.34,1.22,0.01,1.33,0.48,0.0,0.0,10.21,0.0,0.08
" Dim sum, turnip cake, steamed ", Piece (49g) ,0.0,6.37,10.63,2.45,1.23,65.66,0.25,0.82,17.15,0.25,54.39,1.23,0.0,0.03,0.84,0.0,196.0,7.2,2.5,0.13,2.01,0.0,0.0,0.0,34.69,0.0,0.1
" Dim sum, you tiao ", Piece (18g) ,0.0,1.08,5.96,6.3,0.36,61.38,0.04,1.32,9.18,0.35,5.94,1.49,0.18,0.0,1.48,0.09,34.56,5.53,0.29,0.0,3.53,0.18,0.0,0.0,6.62,0.0,0.02
 Dodol berdurian , Piece (22g) ,46.42,2.86,15.86,0.0,0.02,75.24,1.43,0.0,5.06,0.0,13.2,0.55,20.46,0.05,0.0,0.0,8.8,0.0,0.0,0.05,1.06,28.16,0.0,0.0,4.42,0.0,0.0
" Double Cheeseburger, McDonalds' ", Whole (163g) ,0.0,260.8,33.01,53.79,3.99,433.58,3.47,7.32,264.06,0.72,353.71,24.45,0.0,0.4,12.7,0.0,1080.69,0.0,7.6,0.26,22.01,0.0,0.65,0.0,77.87,0.0,3.91
 Drunken prawn , Bowl-soup (16 and 1/2 cm) (186g) ,0.0,130.2,0.0,230.64,0.0,193.44,0.19,0.93,561.72,0.0,636.12,40.73,0.0,0.99,1.49,107.14,478.02,0.0,0.0,0.04,3.53,0.0,0.0,0.0,140.62,0.0,2.79
 Dry prawn noodles , Bowl-soup (16 and 1/2 cm) (345g) ,103.5,82.8,65.21,48.3,5.18,460.93,2.42,4.49,0.0,2.07,0.0,20.36,0.0,0.0,6.21,0.0,1935.45,0.0,0.0,0.0,13.11,17.25,0.0,0.0,238.05,0.0,0.0
" Duck rice, with skin removed ", Plate-23cm (350g) ,0.0,157.75,88.94,84.88,3.61,563.85,1.65,5.11,291.2,2.03,260.23,25.83,25.55,0.3,3.85,122.05,346.33,87.26,1.68,0.29,11.66,25.55,0.0,0.0,220.99,0.0,2.87
 Durian , Seed (27g) ,109.62,1.35,7.99,0.0,0.86,44.55,0.14,0.51,11.61,0.07,14.58,0.68,0.0,0.06,0.3,0.0,0.81,1.76,5.7,0.07,1.11,18.36,5.78,0.0,16.77,0.0,0.08
 Durian Pancake , Piece (50g) ,0.0,11.25,13.0,0.0,2.3,83.0,0.3,0.79,0.0,0.2,0.0,2.1,2.8,0.0,1.5,0.0,28.3,6.95,6.05,0.0,2.49,2.8,4.95,0.0,25.05,0.0,0.0
 Durian cake , Slice (90g) ,52.2,25.2,13.14,40.5,1.62,196.2,0.81,2.61,83.7,1.62,134.1,3.87,41.4,0.2,9.36,0.99,108.0,4.23,8.91,0.01,14.22,50.4,0.0,0.0,50.4,0.0,0.0
 Durian fermented , Tablespoon (15g) ,10.35,2.1,2.94,0.0,0.23,16.96,0.15,0.0,5.25,0.0,70.5,0.41,0.0,0.06,0.0,0.0,86.55,0.0,0.0,0.03,0.39,1.8,0.0,0.0,10.67,0.0,0.0
 Durian ice kacang , Bowl-dessert (15 cm) (450g) ,0.0,126.0,49.95,0.0,14.85,274.5,0.9,2.16,103.5,0.59,445.5,5.85,0.0,0.18,2.52,31.05,108.0,13.5,36.45,0.14,5.4,0.0,2.7,0.0,361.8,0.0,0.9
 Durian pudding , Packet (189g) ,20.79,94.5,41.39,0.0,5.29,262.71,0.19,1.02,88.83,0.15,228.69,5.67,0.0,0.23,5.22,0.38,90.72,9.26,23.25,0.15,8.32,3.78,2.46,0.0,133.06,0.0,0.19
 Durian puff , Piece (30g) ,20.7,14.7,6.87,22.8,0.78,76.5,0.18,1.46,24.3,0.25,41.4,1.41,57.6,0.03,2.9,3.93,68.7,4.14,2.73,0.02,4.83,60.9,0.42,0.0,15.33,0.0,0.12
 Durian wafer , Piece (18g) ,0.0,2.88,13.19,0.54,0.31,76.5,0.14,0.68,12.06,0.17,15.84,1.26,1.8,0.01,1.1,1.76,5.04,7.74,5.45,0.01,2.07,1.8,0.0,0.0,0.27,0.0,0.04
" Durian, Malaysian, mid-range ", Whole (41g) ,16.4,1.64,12.75,0.0,1.27,65.6,0.29,0.5,17.63,0.06,22.14,1.03,0.0,0.05,0.35,0.0,3.28,2.26,9.84,0.0,1.15,2.87,4.76,0.0,25.13,0.0,0.12
" Durian, raw ", Seed (37.8g) ,56.7,15.12,10.55,0.0,1.44,57.83,0.72,0.56,16.63,0.06,26.46,1.02,0.0,0.05,0.39,0.0,15.12,1.66,7.3,0.04,1.29,9.45,8.81,0.0,24.23,0.0,0.11
" Fast foods, salad, vegetable, tossed, without dressing, with chicken ", Cup (145g) ,0.0,24.65,2.48,47.85,0.0,69.6,0.73,0.45,113.1,0.37,297.25,11.6,4.35,0.09,0.38,10.3,139.2,0.0,0.0,0.07,1.45,15.56,11.6,0.0,126.22,0.0,0.59
" Fish ball mee pok, dry ", Plate-23cm (450g) ,0.0,58.5,60.3,32.85,4.95,481.5,2.7,5.54,247.5,2.21,112.5,31.05,129.15,0.0,5.72,20.25,2551.5,50.85,9.45,0.14,13.5,129.15,0.0,0.0,334.8,0.0,1.35
 Fish ball noodles dry , Bowl-soup (16 and 1/2 cm) (420g) ,0.0,79.8,70.56,54.6,5.04,474.6,2.52,3.78,0.0,2.1,0.0,24.78,0.0,0.0,4.2,0.0,2112.6,0.0,0.0,0.0,10.5,0.0,0.0,0.0,306.6,0.0,0.0
" Fish finger, grilled or baked ", Stick (23g) ,0.0,8.05,4.09,0.0,0.18,50.83,0.23,0.0,51.75,0.0,50.37,2.67,94.3,0.01,0.0,0.0,73.6,3.91,0.18,0.02,2.6,94.3,0.0,0.0,12.74,0.0,0.12
 Fish head ban mian soup , Bowl-soup (16 and 1/2 cm) (858g) ,994.42,570.57,84.94,184.47,12.53,868.3,4.8,12.01,561.13,4.29,617.76,63.32,203.35,0.59,12.87,283.14,2656.37,77.73,7.12,0.33,30.89,368.94,0.01,0.0,644.19,0.0,2.75
 Fish ngoh hiang , Piece (140g) ,-1.4,42.0,38.78,62.72,2.1,407.4,1.12,10.64,145.6,3.25,161.0,7.0,-1.4,0.1,9.77,-1.4,809.2,25.34,4.48,0.17,24.92,-1.4,-1.4,0.0,66.36,0.0,0.84
 Fish satay snack , Stick (45g) ,0.0,36.45,24.17,0.0,0.36,171.01,1.85,0.0,78.75,0.0,161.1,6.26,18.9,0.05,0.0,0.0,378.45,0.0,0.0,0.01,5.49,18.9,0.54,0.0,6.84,0.0,0.0
 Fried mee siam , Plate-23cm (450g) ,933.75,117.45,82.8,87.3,7.2,630.0,5.31,11.07,175.5,3.24,193.5,17.55,46.8,0.32,11.12,0.0,1278.0,70.2,12.6,0.09,25.65,202.5,0.0,0.0,301.95,0.0,1.8
 Fried plain carrot cake , Piece (80g) ,0.0,8.0,14.24,1.6,1.28,78.78,0.56,0.64,0.0,0.24,0.0,1.28,0.0,0.0,0.88,0.0,348.0,0.0,0.0,0.0,1.84,0.0,0.0,0.0,61.6,0.0,0.0
" Fried vegetarian bee hoon, plain ", Bowl-soup (16 and 1/2 cm) (299g) ,41.86,14.95,72.36,0.0,3.59,403.65,1.2,3.5,38.87,1.2,80.73,8.37,0.0,0.09,3.74,0.0,1118.26,57.71,14.65,0.06,8.97,5.98,0.3,0.0,205.71,0.0,0.6
 Frog leg claypot rice , 1 portion (405g) ,105.3,81.0,113.4,40.5,8.1,692.55,1.22,6.28,194.4,2.67,348.3,25.92,32.4,0.16,5.27,100.44,1672.65,108.54,4.86,0.16,14.99,48.6,0.0,0.0,235.31,0.0,2.03
" Fruit salad, canned in heavy syrup ", Cup (270g) ,0.0,13.5,52.65,0.0,4.86,222.83,0.81,0.0,0.0,0.0,280.8,1.35,777.6,0.14,0.0,0.0,5.4,0.0,52.65,0.05,0.27,129.6,10.8,0.0,205.74,0.0,0.81
" Fruit salad, canned in heavy syrup, drained ", Cup (255g) ,484.5,15.3,48.45,0.0,7.14,214.12,0.77,0.0,0.0,0.0,255.0,1.53,0.0,0.13,0.0,0.0,5.1,0.0,48.45,0.08,0.51,191.25,10.2,0.0,193.04,0.0,0.77
" Fruit salad, canned in pear juice ", Cup (255g) ,0.0,17.85,21.68,0.0,3.57,114.7,1.02,0.0,0.0,0.0,359.55,1.53,0.0,0.1,0.0,0.0,15.3,0.0,21.68,0.03,0.26,168.3,5.1,0.0,218.79,0.0,0.51
" Fruit salad, canned in pear juice, drained ", Cup (220g) ,704.0,15.4,18.04,0.0,4.84,101.05,0.88,0.0,0.0,0.0,264.0,1.76,0.0,0.09,0.0,0.0,13.2,0.0,18.04,0.02,0.22,248.6,4.4,0.0,187.0,0.0,0.44
" Fruit salad, canned in pineapple juice ", Cup (260g) ,0.0,15.6,28.6,0.0,4.42,133.74,1.04,0.0,0.0,0.0,408.2,1.82,0.0,0.1,0.0,0.0,5.2,0.0,28.6,0.03,0.26,176.8,15.6,0.0,220.48,0.0,1.04
" Fruit salad, canned in pineapple juice, drained ", Cup (250g) ,725.0,15.0,27.0,0.0,6.0,132.78,1.0,0.0,0.0,0.0,375.0,2.25,0.0,0.13,0.0,0.0,5.0,0.0,27.0,0.03,0.5,255.0,15.0,0.0,210.75,0.0,1.0
" Fruit salad, canned in syrup ", Cup (260g) ,0.0,13.0,28.6,0.0,2.86,132.5,1.04,0.0,0.0,0.0,260.0,1.04,0.0,0.05,0.0,0.0,10.4,0.0,28.6,0.05,0.26,101.4,2.6,0.0,221.0,0.0,0.52
" Fruit salad, canned in syrup, drained ", Cup (220g) ,418.0,15.4,25.3,0.0,3.96,114.2,0.88,0.0,0.0,0.0,220.0,1.32,0.0,0.04,0.0,0.0,8.8,0.0,23.32,0.04,0.22,151.8,2.2,0.0,185.46,0.0,0.44
" Grains based salad with 3 vegetable toppings, no dressing ", Bowl-soup (16 and 1/2 cm) (302g) ,4116.26,49.53,39.56,0.0,5.74,253.68,2.66,3.26,0.0,2.14,0.0,9.36,0.0,0.0,1.18,0.0,428.84,31.11,8.46,0.0,6.58,685.54,24.76,0.0,224.39,0.0,0.0
" Grains based salad with chicken and 3 vegetable toppings, no dressing ", Bowl-soup (16 and 1/2 cm) (359g) ,5916.32,53.13,34.11,0.0,8.26,344.64,2.73,3.84,0.0,2.51,0.0,33.75,34.11,0.0,1.76,0.0,660.56,26.21,7.9,0.0,8.11,1019.56,25.49,0.0,261.71,0.0,0.0
" Grains based salad with fish and 3 vegetable toppings, no dressing ", Bowl-soup (16 and 1/2 cm) (357g) ,5065.83,60.33,34.63,0.0,7.85,335.58,3.03,5.71,0.0,3.78,0.0,23.56,79.97,0.0,2.07,0.0,717.57,25.7,8.93,0.0,11.64,924.63,40.7,0.0,265.97,0.0,0.0
" Gravy, assam pedas ", Cup (200g) ,538.0,104.0,12.0,0.0,0.6,76.0,1.2,0.9,0.0,0.26,0.0,2.0,18.0,0.0,0.82,0.0,1100.0,0.4,11.6,0.0,2.0,108.0,0.0,0.0,0.0,0.0,0.0
" Gravy, for Indian rojak ", Dessertspoon (8g) ,50.8,1.28,1.34,0.0,0.0,7.12,0.02,0.06,2.08,0.04,8.4,0.11,0.0,0.01,0.04,0.0,32.72,0.26,1.09,0.0,0.14,8.48,0.0,0.0,5.97,0.0,0.06
" Gravy, laksa ", Bowl-soup (16 and 1/2 cm) (326g) ,68.46,88.02,20.21,0.0,5.22,355.34,4.89,2.48,153.22,0.68,355.34,6.19,26.08,0.03,22.62,0.0,1499.6,6.85,8.48,0.0,27.71,35.86,0.0,0.0,266.99,0.0,0.98
" Gravy, mee rebus ", 1 portion (222.18g) ,88.87,26.66,30.44,0.0,4.44,184.41,0.0,4.44,6.67,0.69,113.31,5.55,11.11,0.02,1.6,3.55,742.08,14.66,10.22,0.0,4.67,26.66,0.0,0.0,178.41,0.0,0.0
" Gravy, mee siam ", Bowl-soup (16 and 1/2 cm) (329g) ,148.05,62.51,45.07,0.0,2.3,259.91,2.63,0.0,118.44,1.25,243.46,6.25,3.29,0.0,2.9,5.59,2197.72,1.32,38.16,0.0,6.91,29.61,0.0,0.0,265.83,0.0,0.66
 Grilled stingray with sambal , Plate-20cm (244g) ,112.24,284.75,3.17,251.32,0.02,303.83,4.39,2.93,0.0,0.98,0.0,48.31,0.02,0.0,3.66,0.0,1534.76,0.0,0.0,0.0,10.74,18.71,0.0,0.0,173.24,0.0,0.0
" Ham Salad, Subway ", Bowl-dessert (15 cm) (344g) ,0.0,0.0,13.0,25.01,3.99,113.52,0.0,0.0,0.0,0.0,0.0,10.32,0.0,0.0,0.79,0.0,860.0,0.0,6.98,0.0,2.99,0.0,0.0,0.0,0.0,0.0,0.0
 Hokkien mee , Bowl-soup (16 and 1/2 cm) (442g) ,22.1,101.66,69.39,132.6,4.42,521.56,3.09,7.69,181.22,2.74,212.16,18.12,48.62,0.35,7.34,3.09,1423.24,52.16,17.24,0.09,19.01,53.04,0.0,0.0,330.62,0.0,1.33
 Hot and spicy beef noodles soup , Bowl-soup (16 and 1/2 cm) (279g) ,377.77,32.64,8.54,65.57,4.99,150.38,3.71,1.7,123.04,0.86,242.17,19.36,44.36,0.3,1.56,54.13,967.29,8.15,0.39,0.08,4.32,107.33,-2.79,0.0,233.91,0.0,2.29
 Ice kachang , Bowl-dessert (15 cm) (406g) ,0.0,42.22,54.81,0.0,3.65,255.78,1.62,0.49,0.0,0.37,0.0,5.68,30.04,0.0,0.73,0.0,152.66,10.15,44.66,0.0,1.62,30.04,0.0,0.0,327.24,0.0,0.0
" Indian rojak, tempeh, battered, fried ", Piece (60g) ,0.0,39.6,8.58,0.0,4.92,218.4,0.84,5.22,130.2,3.84,45.6,12.66,10.2,0.41,5.1,5.88,57.6,8.58,0.0,0.1,14.82,10.2,0.0,0.0,24.0,0.0,0.48
 Japanese Pork Ramen , 1 portion (587g) ,0.0,80.42,52.83,0.0,8.81,469.6,2.05,6.1,0.0,2.58,0.0,33.46,17.02,0.0,5.4,0.0,2254.08,48.72,4.11,0.0,14.15,17.02,0.0,0.0,467.25,0.0,0.0
 Japanese shio ramen , Bowl-soup (16 and 1/2 cm) (676g) ,73.01,171.7,59.49,0.0,2.03,621.92,2.57,10.88,0.0,4.8,0.0,39.21,64.9,0.0,9.53,0.0,3136.64,52.73,6.76,0.0,25.49,77.06,0.0,0.0,529.31,0.0,0.0
 Japanese shoyu ramen , Bowl-soup (16 and 1/2 cm) (659g) ,0.0,252.4,61.29,0.0,1.32,632.64,2.57,12.32,0.0,5.34,0.0,33.61,54.7,0.0,10.15,0.0,3123.66,54.7,6.59,0.0,27.88,54.7,0.0,0.0,520.61,0.0,0.0
 Kaya Toast with Butter , 1 portion (29g) ,0.0,11.92,14.79,0.0,0.15,108.75,0.24,1.02,0.0,0.21,0.0,1.91,41.18,0.0,3.29,0.0,108.46,9.48,5.31,0.0,4.67,41.18,0.0,0.0,7.37,0.0,0.0
 Kopi , Cup (194g) ,0.0,95.37,17.54,0.0,0.0,134.75,0.16,2.35,74.32,0.56,174.46,3.01,92.15,0.23,0.91,1.01,38.72,0.0,17.54,0.17,4.0,92.15,0.6,0.0,168.55,0.0,0.43
 Kopi C , Cup (194g) ,0.0,69.84,14.16,3.88,0.78,87.3,0.39,0.85,73.72,0.21,199.82,2.52,48.5,0.37,1.24,0.0,48.5,0.0,14.16,0.02,2.33,48.5,0.0,0.0,169.75,0.0,0.19
 Kopi C siu dai , Cup (194g) ,0.0,69.84,11.06,3.88,0.78,75.66,0.39,0.85,73.72,0.21,199.82,2.52,48.5,0.37,1.24,0.0,48.5,0.0,11.06,0.02,2.33,48.5,0.0,0.0,169.75,0.0,0.19
 Kopi O , Cup (250g) ,0.0,5.0,15.5,0.0,0.0,85.0,0.0,1.35,17.5,0.08,115.0,0.5,0.0,0.0,0.78,28.5,22.5,0.0,15.5,0.0,2.25,0.0,0.0,0.0,244.25,0.0,0.0
 Kopi O siu dai , Cup (194g) ,0.0,3.88,9.12,0.0,0.0,54.32,0.0,1.05,13.58,0.06,89.24,0.39,0.0,0.0,0.6,22.12,17.46,0.0,9.12,0.0,1.75,0.0,0.0,0.0,189.54,0.0,0.0
 Kopi siu dai , Cup (194g) ,0.0,48.5,13.19,1.94,0.0,104.76,0.0,1.92,52.38,0.43,176.54,1.75,44.62,0.1,2.41,22.5,36.86,0.0,13.19,0.1,5.04,44.62,0.0,0.0,169.17,0.0,0.0
 Korean bulgogi beef with rice , Bowl-rice (11and 1/2 cm) (450g) ,2357.28,115.2,72.09,77.85,3.2,583.16,5.4,7.34,248.72,2.39,736.56,34.11,2.75,0.59,7.25,12.78,785.12,60.71,8.19,0.14,17.51,364.14,10.89,0.0,319.41,0.0,6.39
 Kuih apam balik , Piece (115g) ,0.0,25.3,50.49,0.0,1.27,281.73,2.99,0.0,23.0,0.0,131.1,6.9,26.45,0.13,0.0,0.0,109.25,0.0,0.0,0.07,5.75,26.45,0.0,0.0,50.14,0.0,0.0
 Kuih bangkit sagu , Piece (4g) ,0.0,1.56,2.7,0.0,0.0,15.24,0.07,0.0,3.4,0.0,5.84,0.11,0.32,0.01,0.0,0.0,2.6,0.0,0.0,0.0,0.44,0.32,0.0,0.0,0.12,0.0,0.0
 Kuih koci pulut hitam , Piece (82g) ,0.82,24.6,32.55,0.0,0.9,164.04,0.9,0.0,1.64,0.0,7.38,4.67,4.92,0.04,0.0,0.0,15.58,0.0,0.0,0.32,1.64,4.92,0.0,0.0,39.93,0.0,0.0
 Kuih sagu , Piece (92g) ,0.0,0.92,29.62,0.0,0.55,130.61,0.83,0.0,7.36,0.0,17.48,0.28,4.6,0.05,0.0,0.0,18.4,0.0,0.0,0.0,1.2,4.6,1.84,0.0,60.08,0.0,0.0
 Kway chap , Bowl-soup (16 and 1/2 cm) (611g) ,0.01,140.53,69.65,348.27,4.28,649.85,3.67,9.17,0.0,4.89,0.0,32.99,0.01,0.0,11.61,0.0,2303.47,0.0,0.0,0.0,26.27,0.01,0.0,0.0,470.47,0.0,0.0
" Kway chap, noodles only ", Bowl-soup (16 and 1/2 cm) (206g) ,0.0,14.42,27.81,0.0,1.24,150.38,4.53,1.03,39.14,0.21,41.2,3.5,0.0,0.06,1.03,2.68,315.18,27.81,0.0,0.06,2.88,0.0,0.0,0.0,166.04,0.0,0.41
" Kway teow soup, with beef balls ", Bowl-soup (16 and 1/2 cm) (550g) ,0.01,33.0,62.15,33.0,2.2,364.13,2.75,-5.5,0.0,-5.5,0.0,18.15,0.01,0.0,-5.5,0.0,1930.5,0.0,0.0,0.0,4.4,0.01,0.0,0.0,456.5,0.0,0.0
 Laksa , Bowl-soup (16 and 1/2 cm) (650g) ,97.5,234.0,57.85,104.0,3.9,695.5,3.9,13.85,0.0,4.23,0.0,27.3,104.0,0.0,14.24,0.0,0.0,0.0,0.0,0.0,39.65,123.5,0.0,0.0,518.05,0.0,0.0
" Laksa lemak, without gravy ", Bowl-soup (16 and 1/2 cm) (585g) ,391.95,128.58,63.65,86.4,4.45,765.77,5.67,7.49,236.16,2.98,448.64,21.59,68.45,0.14,33.99,57.33,1592.96,55.52,8.13,0.08,47.21,133.77,0.59,0.0,443.9,0.0,2.87
" Laksa noodles, cooked ", Bowl-rice (11and 1/2 cm) (200g) ,0.0,8.0,68.8,0.0,0.72,278.0,0.54,0.08,10.0,0.02,30.0,0.36,0.0,0.08,0.08,0.0,34.0,64.2,1.4,0.0,0.18,0.0,0.0,0.0,110.4,0.0,0.9
 Laksa yong tauhu , Bowl-soup (16 and 1/2 cm) (602g) ,204.68,192.64,50.57,60.2,3.61,632.1,3.61,7.4,258.86,4.82,385.28,23.48,60.2,0.06,23.0,40.33,2215.36,47.56,3.01,0.06,37.32,96.32,2.41,0.0,484.61,0.0,1.81
" Laksa, leaf, fresh ", Tablespoon (3g) ,222.99,6.96,0.55,0.0,0.15,2.73,0.1,0.0,0.57,0.0,9.24,0.08,0.0,0.01,0.0,0.0,0.57,0.0,0.0,0.0,0.02,37.17,3.75,0.0,2.2,0.0,0.0
 Liver roll ngoh hiang , Cylindrical Piece/Tube (74g) ,0.0,14.8,10.95,65.12,1.18,276.02,6.66,7.33,134.68,2.66,138.38,9.92,9483.1,2.81,10.43,4.14,488.4,4.51,6.44,0.1,21.39,9483.1,-0.74,0.0,24.64,0.0,2.07
 Lontong goreng , Plate-16cm (146.9g) ,305.99,95.63,17.41,30.36,2.23,219.19,3.94,5.14,82.26,1.2,178.63,10.65,39.08,0.11,5.01,82.7,516.65,12.53,4.88,0.05,11.88,90.08,-1.47,0.0,102.7,0.0,4.52
 Lor mee , Bowl-soup (16 and 1/2 cm) (540g) ,0.0,81.0,55.08,140.4,6.48,383.4,3.24,3.78,0.0,2.16,0.0,14.58,0.01,0.0,4.86,0.0,2538.0,0.0,0.0,0.0,11.34,0.01,0.0,0.0,453.6,0.0,0.0
 Lor mee (NEW) , Bowl-soup (16 and 1/2 cm) (640g) ,0.0,70.4,84.48,109.44,4.48,595.2,5.12,7.87,313.6,2.56,153.6,25.6,0.0,0.0,6.85,10.88,3315.2,70.4,14.08,0.13,17.28,0.0,1.28,0.0,491.52,0.0,3.2
 Ma La Xiang Guo , 1 portion (463g) ,828.77,383.83,13.89,0.0,12.96,652.83,8.29,19.4,0.0,13.15,0.0,37.04,0.0,0.0,17.27,0.0,2139.06,9.72,4.17,0.0,50.0,137.97,4.17,0.0,336.6,0.0,0.0
 Mee goreng , Plate-23cm (360g) ,845.64,233.46,67.07,361.73,3.46,613.91,4.46,11.88,263.27,4.93,587.92,22.72,328.86,0.72,9.11,10.51,2607.05,44.6,22.54,0.28,28.15,470.12,39.85,0.0,229.46,0.0,2.66
" Mee goreng, mamak style ", Plate-23cm (170g) ,102.0,32.3,40.63,0.0,2.11,281.57,2.21,3.79,54.4,1.16,78.2,9.35,45.9,0.14,3.67,0.0,1111.8,37.23,3.4,0.03,9.01,62.9,2.89,0.0,107.1,0.0,0.0
 Mee rebus , Plate-23cm (571g) ,2103.16,183.8,78.0,146.4,11.25,559.24,8.45,4.05,292.24,1.77,789.69,21.01,51.16,0.4,3.6,12.9,2268.87,16.73,14.22,0.34,18.16,401.47,21.53,0.0,431.79,0.0,3.65
" Mee rebus, without gravy ", Bowl-soup (16 and 1/2 cm) (463g) ,2818.28,193.12,55.33,204.04,10.97,474.11,1.94,8.33,281.27,3.52,377.62,18.52,73.62,0.16,7.13,73.02,1895.99,39.73,15.6,0.1,19.86,543.33,0.0,0.0,352.44,0.0,1.34
 Mee siam , Plate-23cm (577g) ,330.04,177.72,64.1,99.24,3.58,521.15,4.21,7.15,255.67,2.31,319.95,20.89,71.26,0.23,6.35,15.69,2346.66,54.18,54.18,0.17,19.27,126.36,4.9,0.0,461.83,0.0,2.42
" Mee siam, without gravy ", Plate-20cm (368g) ,890.56,99.36,81.7,95.68,11.78,563.04,2.58,8.28,235.52,2.32,154.56,15.46,106.72,0.22,8.17,2.21,1008.32,73.6,0.0,0.85,19.87,257.6,0.0,0.0,248.4,0.0,1.47
 Mee soto , Bowl-soup (16 and 1/2 cm) (541g) ,0.01,173.12,60.05,37.87,3.79,432.8,3.79,4.87,0.0,2.16,0.0,19.48,0.01,0.0,5.41,0.0,2677.95,0.0,0.0,0.0,12.98,0.01,0.0,0.0,438.21,0.0,0.0
 Mushrooom Fritter (Fried Mushroom) , 1 portion (173g) ,0.0,32.87,55.88,0.0,5.19,570.9,1.18,15.38,0.0,6.3,0.0,6.75,0.0,0.0,13.94,0.0,627.99,54.67,1.21,0.0,35.62,0.0,0.0,0.0,68.16,0.0,0.0
